12/31/2020,12/31/2019,12/31/2018,12/31/2017,6/30/2017,12/31/2016
AAPL,AAL,AAL,AAL,AAL,AAL
ADBE,AAPL,AAPL,AAPL,AAPL,AAPL
ADI,ADBE,ADBE,ADBE,ADBE,ADBE
ADP,ADI,ADI,ADI,ADI,ADI
ADSK,ADP,ADP,ADP,ADP,ADP
ALXN,ADSK,ADSK,ADSK,ADSK,ADSK
AMAT,ALXN,ALXN,ALXN,AKAM,AKAM
AMGN,AMAT,AMAT,AMAT,ALXN,ALXN
AMZN,AMGN,AMGN,AMGN,AMAT,AMAT
ATVI,AMZN,AMZN,AMZN,AMGN,AMGN
AVGO,ATVI,ATVI,ATVI,AMZN,AMZN
BIDU,AVGO,AVGO,AVGO,ATVI,ATVI
BIIB,BIDU,BIDU,BIDU,AVGO,AVGO
CDNS,BIIB,BIIB,BIIB,BIDU,BIDU
CERN,BMRN,BMRN,BMRN,BIIB,BIIB
CHKP,CDNS,CDNS,CA,BMRN,BMRN
CHTR,CERN,CERN,CDNS,CA,CA
CMCSA,CHKP,CHKP,CERN,CERN,CERN
COST,CHTR,CHTR,CHKP,CHKP,CHKP
CSCO,CMCSA,CMCSA,CHTR,CHTR,CHTR
CSX,COST,COST,CMCSA,CMCSA,CMCSA
CTAS,CSCO,CSCO,COST,COST,COST
TCOM,CSX,CSX,CSCO,CSCO,CSCO
CTSH,CTAS,CTAS,CSX,CSX,CSX
DLTR,TCOM,TCOM,CTAS,CTAS,CTAS
EA,CTSH,CTSH,TCOM,TCOM,TCOM
EBAY,CTXS,CTXS,CTSH,CTSH,CTSH
FAST,DLTR,DLTR,CTXS,CTXS,CTXS
FB,EA,EA,DISH,DISCA,DISCA
FISV,EBAY,EBAY,DLTR,DISCK,DISCK
GILD,EXPE,EXPE,EA,DISH,DISH
GOOG,FAST,FAST,EBAY,DLTR,DLTR
GOOGL,FB,FB,ESRX,EA,EA
IDXX,FISV,FISV,EXPE,EBAY,EBAY
ILMN,GILD,GILD,FAST,ESRX,ESRX
INCY,GOOG,GOOG,FB,EXPE,EXPE
INTC,GOOGL,GOOGL,FISV,FAST,FAST
INTU,IDXX,HAS,GILD,FB,FB
ISRG,ILMN,HSIC,GOOG,FISV,FISV
JD,INCY,IDXX,GOOGL,GILD,GILD
KHC,INTC,ILMN,HAS,GOOG,GOOG
KLAC,INTU,INCY,HOLX,GOOGL,GOOGL
LRCX,ISRG,INTC,HSIC,HAS,HAS
MAR,JD,INTU,IDXX,HOLX,HOLX
MCHP,KHC,ISRG,ILMN,HSIC,HSIC
MDLZ,KLAC,JBHT,INCY,IDXX,ILMN
MNST,LBTYA,JD,INTC,ILMN,INCY
MRVL,LBTYK,KHC,INTU,INCY,INTC
MSFT,LRCX,KLAC,ISRG,INTC,INTU
MU,MAR,LBTYA,JBHT,INTU,ISRG
MXIM,MCHP,LBTYK,JD,ISRG,JD
NFLX,MDLZ,LRCX,KHC,JBHT,KHC
NTES,MNST,MAR,KLAC,JD,KLAC
NVDA,MSFT,MCHP,LBTYA,KHC,LBTYA
NXPI,MU,MDLZ,LBTYK,KLAC,LBTYK
ORLY,MXIM,MNST,LRCX,LBTYA,LILA
PAYX,NFLX,MSFT,QRTEA,LBTYK,LILAK
PCAR,NTAP,MU,MAR,LILA,LRCX
BKNG,NTES,MXIM,MCHP,LILAK,QRTEA
PYPL,NVDA,VTRS,MDLZ,LRCX,MAR
QCOM,NXPI,NFLX,MNST,QRTEA,MAT
REGN,ORLY,NTAP,MSFT,MAR,MCHP
ROST,PAYX,NTES,MU,MAT,MDLZ
SBUX,PCAR,NVDA,MXIM,MCHP,MNST
SIRI,BKNG,NXPI,VTRS,MDLZ,MSFT
SNPS,PYPL,ORLY,NFLX,MNST,MU
SWKS,QCOM,PAYX,NTES,MSFT,MXIM
TMUS,REGN,PCAR,NVDA,MU,VTRS
TSLA,ROST,BKNG,ORLY,MXIM,NCLH
TXN,SBUX,PYPL,PAYX,VTRS,NFLX
VRSK,SIRI,QCOM,PCAR,NCLH,NTES
VRSN,SNPS,REGN,BKNG,NFLX,NVDA
VRTX,SWKS,ROST,PYPL,NTES,NXPI
WBA,TMUS,SBUX,QCOM,NVDA,ORLY
XLNX,TSLA,SIRI,QRTEA,ORLY,PAYX
MELI,TXN,SNPS,REGN,PAYX,PCAR
WDAY,ULTA,SWKS,ROST,PCAR,BKNG
ASML,VRSK,NLOK,SBUX,BKNG,PYPL
ALGN,VRSN,TMUS,SHPG,PYPL,QCOM
PEP,VRTX,TSLA,SIRI,QCOM,QRTEA
AMD,WBA,TXN,SNPS,QRTEA,REGN
LULU,WDC,ULTA,STX,REGN,ROST
XEL,XLNX,VRSK,SWKS,ROST,SBAC
EXC,MELI,VRSN,NLOK,SBUX,SBUX
SPLK,WDAY,VRTX,TMUS,SHPG,SHPG
ANSS,TTWO,WBA,TSLA,SIRI,SIRI
CPRT,ASML,WDC,TXN,STX,STX
CDW,ALGN,WYNN,ULTA,SWKS,SWKS
SGEN,PEP,XLNX,VOD,NLOK,NLOK
DOCU,AMD,MELI,VRSK,TMUS,TMUS
ZM,LULU,WDAY,VRTX,TSCO,TRIP
DXCM,UAL,TTWO,WBA,TSLA,TSCO
PDD,WLTW,ASML,WDC,TXN,TSLA
MRNA,XEL,ALGN,WYNN,ULTA,TXN
AEP,EXC,PEP,XLNX,VIAC,ULTA
MTCH,SPLK,AMD,XRAY,VOD,VIAC
OKTA,CSGP,LULU,MELI,VRSK,VOD
PTON,ANSS,UAL,WDAY,VRTX,VRSK
TEAM,CPRT,WLTW,TTWO,WBA,VRTX
KDP,CDW,XEL,ASML,WDC,WBA
,SGEN,,ALGN,WYNN,WDC
,,,,XLNX,XLNX
,,,,XRAY,XRAY
,,,,MELI,